Model,Set.,P,R,F1,Acc,Set.,P,R,F1,Acc
DeepSeek-VL-7B,Base,26.43,26.84,26.14,26.77,Lora,29.24,29.85,28.95,29.77
MiniCPM-V4.5-8B,Base,41.7,41.1,40.87,41.05,Lora,44.04,44.09,43.96,44.19
Phi-4-5.6B,Base,36.66,36.02,35.97,36.25,Lora,56.83,56.94,56.82,57.08
Janus-Pro-7B,Base,28.19,25.59,25.94,25.5,Lora,30.8,29.76,28.83,29.84
Qwen3.5-9B,Base,44.58,43.93,43.97,43.93,Lora,56.97,57.21,57.0,57.48
InternVL3.5-8B,Base,42.26,41.24,41.16,41.12,Lora,45.19,44.4,44.45,44.33
mPLUG-Owl3-7B,Base,37.2,36.61,35.43,36.85,Lora,41.02,41.0,40.73,41.19
LLaVA-OV-2-8B,Base,50.38,38.75,35.03,38.38,Lora,53.44,48.15,45.0,48.4
Llama-3.2-11B-Vision,Base,28.85,28.4,25.15,28.91,Lora,34.97,33.54,31.95,34.11
,,,,,,,,,,
GPT-5.5,0shot,51.0,50.34,50.34,50.5,1shot,54.7,53.4,53.3,53.5
GPT-5.5,2shot,55.86,55.74,55.53,56.0,3shot,59.05,57.47,57.56,57.5
Gemini3.5-flash,0shot,55.22,54.37,54.54,54.5,1shot,57.31,56.85,56.87,57.0
Gemini3.5-flash,2shot,57.34,57.53,57.39,57.5,3shot,60.29,59.83,59.61,60.0
,,,,,,,,,,
random,-,23.82,23.78,23.75,23.77,,,,,
,,,,,,,,,,
